Date, City, Temperature, Pressure, Windspeed, WindDirection
02/01/2018, Timaru, 26, 939, 11, 91
02/01/2018, Portsmouth, 17, 950, 5, 292
02/01/2018, Créteil, 24, 948, 10, 69
02/01/2018, Jirja, 21, 1008, 16, 93
02/01/2018, Ulimonong, 34, 939, 5, 273
02/01/2018, Valdivia, 12, 1017, 22, 205
02/01/2018, Tangub, 34, 994, 31, 88
02/01/2018, Jiulian, 10, 958, 9, 204
02/01/2018, Glad, 8, 902, 22, 35
02/01/2018, Dukou, 20, 989, 17, 96
02/01/2018, Haduohe, 27, 932, 29, 65
02/01/2018, Samsan, 43, 947, 8, 25
02/01/2018, Las Piñas, 39, 932, 20, 77
02/01/2018, Yoshii, 39, 940, 2, 271
02/01/2018, Harper, -4, 1033, 17, 113
02/01/2018, Qingsong, 2, 904, 19, 341
02/01/2018, Kuloy, 33, 968, 17, 333
02/01/2018, Casigua El Cubo, 38, 988, 25, 292
02/01/2018, Boston, 43, 943, 5, 131
02/01/2018, Croix, 7, 918, 30, 245
02/01/2018, Lolodorf, 10, 996, 10, 221
03/01/2018, Guandu, 31, 925, 12, 353
03/01/2018, Barbacena, -4, 981, 9, 294
03/01/2018, Stockholm, 19, 1033, 27, 322
03/01/2018, Aldeia, 31, 1016, 17, 32
03/01/2018, Bachowice, 7, 940, 9, 47
03/01/2018, Marija Bistrica, -1, 987, 0, 236
03/01/2018, Lille, 17, 969, 2, 281
03/01/2018, Hufang, 34, 1034, 27, 257
03/01/2018, Gaotang, 36, 917, 19, 30
03/01/2018, Bechlín, 2, 1011, 20, 66
03/01/2018, Tuapukan, 10, 962, 31, 358
03/01/2018, Rybache, 0, 970, 23, 352
03/01/2018, Soutelo, 7, 1035, 27, 287
03/01/2018, Ciudad Nueva, 10, 1021, 2, 233
03/01/2018, London, 28, 919, 20, 156
03/01/2018, Rognedino, 27, 1007, 23, 355
03/01/2018, Chinchero, 32, 1028, 27, 165
03/01/2018, Smarhon’, 33, 984, 5, 103
03/01/2018, Novoaltaysk, 1, 951, 7, 7
03/01/2018, Longtang, 34, 1015, 5, 27
03/01/2018, Liliongan, 20, 900, 1, 161
03/01/2018, Belusovka, 41, 986, 26, 161
03/01/2018, Banepa, 38, 995, 26, 312
03/01/2018, Merke, 27, 1006, 7, 308
03/01/2018, Jeziorany, 36, 958, 16, 285
03/01/2018, Kindersley, 16, 902, 1, 164
03/01/2018, Corralillo, -3, 1028, 18, 343
03/01/2018, Perovo, 44, 924, 31, 118
03/01/2018, Cigaleuh Kulon, 0, 921, 14, 71
03/01/2018, Padaimut, 9, 1016, 31, 89
03/01/2018, Atsugi, 41, 1030, 14, 2
03/01/2018, Podgornoye, -1, 1029, 12, 326
03/01/2018, Toledo, 13, 904, 29, 93
03/01/2018, San Pedro, 32, 992, 27, 42
03/01/2018, Príbram, 27, 947, 31, 153
03/01/2018, Datong, 40, 1030, 13, 164
03/01/2018, Orlová, 24, 976, 13, 26
03/01/2018, Savannakhét, 20, 994, 7, 118
03/01/2018, Huangsha, 25, 1005, 2, 85
03/01/2018, Wongsorejo, 6, 955, 25, 90
03/01/2018, Krížová, 11, 940, 10, 242
03/01/2018, Belyy Yar, 24, 1007, 4, 324
03/01/2018, Reading, 41, 910, 28, 80
03/01/2018, Niquelândia, 33, 923, 6, 79
03/01/2018, Semirara, 38, 928, 30, 188
03/01/2018, Zhangjiahe, 19, 915, 11, 38
03/01/2018, Dashiqiao, 39, 909, 27, 61
03/01/2018, Bezhta, 20, 973, 12, 65
03/01/2018, Mogok, 12, 932, 28, 202
03/01/2018, Shagedu, 8, 922, 8, 69
03/01/2018, Guanjiabao, 1, 973, 21, 154
03/01/2018, Timaru, 39, 981, 30, 100
03/01/2018, Portsmouth, 42, 991, 21, 356
03/01/2018, Créteil, 28, 1002, 8, 22
03/01/2018, Jirja, 3, 1008, 21, 112
03/01/2018, Ulimonong, 7, 988, 13, 315
03/01/2018, Valdivia, 7, 958, 30, 228
03/01/2018, Tangub, 27, 1038, 8, 166
03/01/2018, Jiulian, 42, 922, 22, 41
03/01/2018, Glad, 43, 1022, 19, 45
03/01/2018, Dukou, 13, 916, 8, 262
03/01/2018, Haduohe, 29, 961, 23, 136
03/01/2018, Samsan, -4, 1001, 1, 5
03/01/2018, Las Piñas, 22, 980, 31, 203
03/01/2018, Yoshii, 38, 949, 22, 27
03/01/2018, Harper, 9, 951, 15, 34
03/01/2018, Qingsong, 24, 945, 24, 294
03/01/2018, Kuloy, 11, 978, 11, 85
03/01/2018, Casigua El Cubo, -1, 963, 13, 209
03/01/2018, Boston, 20, 911, 5, 122
03/01/2018, Croix, 11, 976, 5, 267
03/01/2018, Lolodorf, 41, 978, 25, 214
04/01/2018, Guandu, 13, 924, 8, 100
04/01/2018, Barbacena, 27, 1017, 15, 229
04/01/2018, Stockholm, 35, 987, 14, 285
04/01/2018, Aldeia, 22, 985, 17, 196
04/01/2018, Bachowice, 11, 910, 25, 102
04/01/2018, Marija Bistrica, 26, 989, 19, 321
04/01/2018, Lille, -1, 949, 20, 21
04/01/2018, Hufang, 0, 994, 12, 226
04/01/2018, Gaotang, 26, 948, 18, 28
04/01/2018, Bechlín, 19, 966, 17, 123
04/01/2018, Tuapukan, 7, 1016, 23, 128
04/01/2018, Rybache, 2, 1017, 23, 104
04/01/2018, Soutelo, 43, 1025, 23, 80
04/01/2018, Ciudad Nueva, 21, 970, 3, 111
04/01/2018, London, 20, 917, 31, 235
04/01/2018, Rognedino, 12, 1031, 31, 257
04/01/2018, Chinchero, 20, 1017, 18, 199
04/01/2018, Smarhon’, 40, 977, 18, 107
04/01/2018, Novoaltaysk, 35, 1035, 19, 168
04/01/2018, Longtang, 26, 1022, 25, 176
04/01/2018, Liliongan, 27, 1024, 20, 184
04/01/2018, Belusovka, 38, 934, 12, 289
04/01/2018, Banepa, 35, 955, 11, 337
04/01/2018, Merke, 18, 922, 24, 232
04/01/2018, Jeziorany, 16, 962, 22, 356
04/01/2018, Kindersley, 43, 954, 25, 35
04/01/2018, Corralillo, 20, 936, 23, 66
04/01/2018, Perovo, 27, 1031, 20, 61
04/01/2018, Cigaleuh Kulon, 13, 935, 18, 282
04/01/2018, Padaimut, 21, 970, 9, 54
04/01/2018, Atsugi, 24, 909, 4, 220
04/01/2018, Podgornoye, -2, 1035, 21, 76
04/01/2018, Toledo, -3, 962, 17, 246
04/01/2018, San Pedro, 35, 966, 8, 186
04/01/2018, Príbram, -2, 1033, 24, 51
04/01/2018, Datong, 16, 900, 23, 1
04/01/2018, Orlová, 20, 1014, 2, 328
04/01/2018, Savannakhét, 8, 924, 11, 180
04/01/2018, Huangsha, 9, 901, 18, 53
04/01/2018, Wongsorejo, 42, 968, 7, 249
04/01/2018, Krížová, 32, 913, 25, 271
04/01/2018, Belyy Yar, 10, 1031, 4, 259
04/01/2018, Reading, 34, 1022, 26, 199
04/01/2018, Niquelândia, 31, 1003, 30, 46
04/01/2018, Semirara, 34, 911, 25, 319
04/01/2018, Zhangjiahe, 17, 907, 1, 64
04/01/2018, Dashiqiao, 29, 993, 17, 34
04/01/2018, Bezhta, 38, 910, 29, 59
04/01/2018, Mogok, 4, 988, 2, 66
04/01/2018, Shagedu, 27, 997, 13, 104
04/01/2018, Guanjiabao, 4, 916, 24, 83
04/01/2018, Timaru, -1, 944, 20, 215
04/01/2018, Portsmouth, 39, 911, 15, 296
04/01/2018, Créteil, 13, 1034, 14, 52
04/01/2018, Jirja, 43, 999, 28, 210
04/01/2018, Ulimonong, 8, 975, 31, 146
04/01/2018, Valdivia, 43, 983, 31, 137
04/01/2018, Tangub, 34, 926, 7, 41
04/01/2018, Jiulian, 13, 937, 30, 105
04/01/2018, Glad, -3, 1020, 30, 212
04/01/2018, Dukou, 44, 1010, 10, 183
04/01/2018, Haduohe, 19, 948, 5, 92
04/01/2018, Samsan, 7, 922, 16, 87
04/01/2018, Las Piñas, 23, 1037, 13, 200
04/01/2018, Yoshii, 21, 982, 14, 213
04/01/2018, Harper, -1, 943, 29, 39
04/01/2018, Qingsong, 40, 921, 28, 199
04/01/2018, Kuloy, 19, 1025, 27, 160
04/01/2018, Casigua El Cubo, 38, 1005, 2, 20
04/01/2018, Boston, 34, 948, 8, 311
04/01/2018, Croix, 29, 1020, 19, 262
04/01/2018, Lolodorf, 34, 1020, 15, 292
05/01/2018, Guandu, 26, 911, 30, 227
05/01/2018, Barbacena, 31, 991, 21, 200
05/01/2018, Stockholm, 30, 1031, 0, 249
05/01/2018, Aldeia, 40, 903, 6, 227
05/01/2018, Bachowice, 10, 956, 4, 189
05/01/2018, Marija Bistrica, 28, 952, 5, 202
05/01/2018, Lille, -1, 1033, 22, 244
05/01/2018, Hufang, 24, 929, 16, 111
05/01/2018, Gaotang, 24, 982, 28, 164
05/01/2018, Bechlín, 12, 940, 7, 312
05/01/2018, Tuapukan, 0, 1019, 0, 186
05/01/2018, Rybache, 5, 929, 10, 296
05/01/2018, Soutelo, 1, 1032, 21, 42
05/01/2018, Ciudad Nueva, 36, 986, 27, 354
05/01/2018, London, 44, 975, 14, 259
05/01/2018, Rognedino, -2, 904, 14, 220
05/01/2018, Chinchero, 40, 999, 28, 157
05/01/2018, Smarhon’, 6, 918, 1, 296
05/01/2018, Novoaltaysk, 22, 1030, 17, 289
05/01/2018, Longtang, 16, 966, 27, 318
05/01/2018, Liliongan, 24, 985, 11, 241
05/01/2018, Belusovka, 41, 905, 21, 177
05/01/2018, Banepa, 26, 980, 29, 158
05/01/2018, Merke, 16, 938, 15, 119
05/01/2018, Jeziorany, 12, 990, 7, 36
05/01/2018, Kindersley, 25, 914, 28, 183
05/01/2018, Corralillo, 43, 1011, 10, 241
05/01/2018, Perovo, 11, 958, 26, 242
05/01/2018, Cigaleuh Kulon, 43, 1026, 14, 222
05/01/2018, Padaimut, 30, 950, 30, 25
05/01/2018, Atsugi, 11, 948, 26, 218
05/01/2018, Podgornoye, 16, 1025, 23, 34
05/01/2018, Toledo, 22, 961, 26, 92
05/01/2018, San Pedro, 18, 928, 13, 286
05/01/2018, Príbram, 18, 900, 9, 50
05/01/2018, Datong, 38, 958, 29, 50
05/01/2018, Orlová, 26, 980, 0, 46
05/01/2018, Savannakhét, 13, 948, 28, 256
05/01/2018, Huangsha, -1, 926, 31, 197
05/01/2018, Wongsorejo, 27, 920, 14, 246
05/01/2018, Krížová, 44, 971, 2, 153
05/01/2018, Belyy Yar, 14, 940, 19, 125
05/01/2018, Reading, 2, 938, 31, 284
05/01/2018, Niquelândia, 20, 910, 4, 308
05/01/2018, Semirara, -1, 903, 22, 263
05/01/2018, Zhangjiahe, 34, 954, 7, 274
05/01/2018, Dashiqiao, 31, 1001, 9, 27
05/01/2018, Bezhta, 37, 1025, 24, 90
05/01/2018, Mogok, 30, 977, 21, 28
05/01/2018, Shagedu, 5, 954, 16, 295
05/01/2018, Guanjiabao, 8, 957, 13, 261
05/01/2018, Timaru, 16, 969, 1, 35
05/01/2018, Portsmouth, 40, 916, 15, 68
05/01/2018, Créteil, 36, 912, 12, 200
05/01/2018, Jirja, 11, 969, 28, 201
05/01/2018, Ulimonong, 20, 936, 25, 223
05/01/2018, Valdivia, 29, 987, 1, 335
05/01/2018, Tangub, 30, 934, 13, 29
05/01/2018, Jiulian, 38, 959, 14, 182
05/01/2018, Glad, -1, 983, 29, 45
05/01/2018, Dukou, 11, 999, 1, 112
05/01/2018, Haduohe, 29, 1039, 28, 230
05/01/2018, Samsan, 10, 965, 7, 151
05/01/2018, Las Piñas, 3, 936, 25, 59
05/01/2018, Yoshii, 38, 941, 25, 245
05/01/2018, Harper, 15, 926, 11, 202
05/01/2018, Qingsong, 25, 989, 29, 81
05/01/2018, Kuloy, 6, 1028, 11, 140
05/01/2018, Casigua El Cubo, 17, 939, 23, 65
05/01/2018, Boston, 3, 961, 23, 290
05/01/2018, Croix, 29, 1033, 24, 331
05/01/2018, Lolodorf, 5, 985, 18, 65
06/01/2018, Guandu, 24, 918, 7, 205
06/01/2018, Barbacena, 4, 982, 8, 196
06/01/2018, Stockholm, 40, 994, 29, 48
06/01/2018, Aldeia, 19, 976, 6, 143
06/01/2018, Bachowice, 19, 996, 1, 201
06/01/2018, Marija Bistrica, 23, 969, 20, 162
06/01/2018, Lille, 15, 937, 27, 244
06/01/2018, Hufang, 15, 1027, 24, 33
06/01/2018, Gaotang, 8, 912, 26, 126
06/01/2018, Bechlín, 17, 902, 21, 62
06/01/2018, Tuapukan, 16, 1034, 31, 288
06/01/2018, Rybache, 24, 1002, 4, 109
06/01/2018, Soutelo, 40, 932, 29, 222
06/01/2018, Ciudad Nueva, 7, 921, 8, 27
06/01/2018, London, 1, 1006, 0, 248
06/01/2018, Rognedino, 40, 1037, 11, 32
06/01/2018, Chinchero, 6, 925, 21, 125
06/01/2018, Smarhon’, 18, 1037, 31, 223
06/01/2018, Novoaltaysk, 36, 975, 13, 209
06/01/2018, Longtang, 16, 957, 22, 301
06/01/2018, Liliongan, 23, 904, 9, 194
06/01/2018, Belusovka, 20, 1015, 15, 224
06/01/2018, Banepa, -1, 924, 6, 79
06/01/2018, Merke, 26, 1030, 10, 229
06/01/2018, Jeziorany, 34, 1022, 7, 208
06/01/2018, Kindersley, 38, 966, 20, 15
06/01/2018, Corralillo, 6, 939, 9, 116
06/01/2018, Perovo, 14, 980, 2, 220
06/01/2018, Cigaleuh Kulon, 12, 931, 7, 152
06/01/2018, Padaimut, 8, 900, 15, 150
06/01/2018, Atsugi, 24, 1006, 15, 316
06/01/2018, Podgornoye, 20, 976, 20, 145
06/01/2018, Toledo, 12, 972, 15, 196
06/01/2018, San Pedro, 43, 997, 23, 46
06/01/2018, Príbram, 25, 912, 9, 167
06/01/2018, Datong, 42, 1032, 25, 238
06/01/2018, Orlová, 18, 1010, 25, 261
06/01/2018, Savannakhét, 31, 1032, 1, 53
06/01/2018, Huangsha, 7, 914, 17, 180
06/01/2018, Wongsorejo, 12, 1023, 28, 126
06/01/2018, Krížová, 19, 989, 18, 70
06/01/2018, Belyy Yar, 41, 971, 3, 316
06/01/2018, Reading, 2, 1001, 1, 220
06/01/2018, Niquelândia, 12, 1027, 17, 210
06/01/2018, Semirara, 18, 1006, 14, 217
06/01/2018, Zhangjiahe, 24, 1009, 18, 66
06/01/2018, Dashiqiao, 5, 1033, 7, 60
06/01/2018, Bezhta, 15, 979, 29, 235
06/01/2018, Mogok, 28, 951, 28, 149
06/01/2018, Shagedu, 15, 975, 19, 26
06/01/2018, Guanjiabao, 0, 1007, 4, 92
06/01/2018, Timaru, -1, 916, 21, 169
06/01/2018, Portsmouth, 42, 1026, 10, 348
06/01/2018, Créteil, 29, 927, 15, 108
06/01/2018, Jirja, 17, 922, 8, 101
06/01/2018, Ulimonong, 6, 930, 23, 105
06/01/2018, Valdivia, 15, 1021, 19, 116
06/01/2018, Tangub, 37, 930, 9, 336
06/01/2018, Jiulian, 32, 916, 0, 164
06/01/2018, Glad, 22, 991, 15, 120
06/01/2018, Dukou, 32, 998, 24, 324
06/01/2018, Haduohe, -3, 1033, 14, 274
06/01/2018, Samsan, 32, 984, 15, 26
06/01/2018, Las Piñas, 39, 1026, 28, 323
06/01/2018, Yoshii, 7, 975, 25, 262
06/01/2018, Harper, -2, 983, 8, 204
06/01/2018, Qingsong, 35, 1019, 9, 319
06/01/2018, Kuloy, 18, 926, 11, 85
06/01/2018, Casigua El Cubo, 24, 921, 25, 127
06/01/2018, Boston, 43, 983, 18, 220
06/01/2018, Croix, 44, 1008, 14, 66
06/01/2018, Lolodorf, 3, 961, 19, 85
07/01/2018, Guandu, 4, 1003, 10, 92
07/01/2018, Barbacena, 7, 1000, 22, 35
07/01/2018, Stockholm, 14, 995, 29, 355
07/01/2018, Aldeia, 37, 965, 6, 161
07/01/2018, Bachowice, 26, 994, 14, 59
07/01/2018, Marija Bistrica, 43, 947, 22, 302
07/01/2018, Lille, 18, 936, 15, 6
07/01/2018, Hufang, 12, 903, 0, 87
07/01/2018, Gaotang, 12, 975, 3, 37
07/01/2018, Bechlín, -1, 969, 26, 191
07/01/2018, Tuapukan, 14, 917, 27, 106
07/01/2018, Rybache, 14, 1025, 1, 292
07/01/2018, Soutelo, 13, 1029, 30, 187
07/01/2018, Ciudad Nueva, 11, 998, 15, 285
07/01/2018, London, -3, 1021, 1, 66
07/01/2018, Rognedino, 37, 994, 12, 179
07/01/2018, Chinchero, 20, 926, 17, 226
07/01/2018, Smarhon’, 38, 900, 7, 151
07/01/2018, Novoaltaysk, 22, 963, 13, 89
07/01/2018, Longtang, 2, 902, 16, 110
07/01/2018, Liliongan, 39, 968, 21, 320
07/01/2018, Belusovka, 5, 942, 13, 311
07/01/2018, Banepa, 2, 1032, 8, 125
07/01/2018, Merke, 24, 999, 25, 78
07/01/2018, Jeziorany, 8, 969, 16, 239
07/01/2018, Kindersley, -3, 1008, 28, 1
07/01/2018, Corralillo, 14, 922, 13, 196
07/01/2018, Perovo, 34, 908, 1, 153
07/01/2018, Cigaleuh Kulon, 36, 981, 6, 19
07/01/2018, Padaimut, 34, 919, 4, 11
07/01/2018, Atsugi, 41, 1037, 12, 200
07/01/2018, Podgornoye, 23, 908, 12, 225
07/01/2018, Toledo, 24, 939, 14, 119
07/01/2018, San Pedro, 6, 911, 5, 46
07/01/2018, Príbram, 5, 1015, 26, 154
07/01/2018, Datong, 36, 908, 2, 4
07/01/2018, Orlová, 7, 1028, 18, 66
07/01/2018, Savannakhét, 40, 1035, 9, 59
07/01/2018, Huangsha, 13, 953, 7, 339
07/01/2018, Wongsorejo, 2, 967, 8, 318
07/01/2018, Krížová, 17, 925, 18, 115
07/01/2018, Belyy Yar, 21, 931, 6, 150
07/01/2018, Reading, 23, 949, 21, 6
07/01/2018, Niquelândia, 11, 994, 19, 357
07/01/2018, Semirara, 44, 939, 4, 223
07/01/2018, Zhangjiahe, 28, 1039, 30, 183
07/01/2018, Dashiqiao, 12, 967, 0, 87
07/01/2018, Bezhta, 13, 1012, 11, 258
07/01/2018, Mogok, 43, 981, 14, 113
07/01/2018, Shagedu, -3, 992, 10, 192
07/01/2018, Guanjiabao, 27, 985, 12, 170
07/01/2018, Timaru, 7, 924, 24, 132
07/01/2018, Portsmouth, 7, 1027, 20, 104
07/01/2018, Créteil, 25, 992, 2, 260
07/01/2018, Jirja, 1, 1036, 1, 30
07/01/2018, Ulimonong, 30, 916, 28, 354
07/01/2018, Valdivia, 20, 1028, 18, 306
07/01/2018, Tangub, 34, 925, 4, 122
07/01/2018, Jiulian, 20, 1017, 13, 63
07/01/2018, Glad, 29, 990, 28, 353
07/01/2018, Dukou, 18, 1004, 8, 88
07/01/2018, Haduohe, 44, 947, 15, 271
07/01/2018, Samsan, 40, 1014, 17, 332
07/01/2018, Las Piñas, 34, 957, 25, 293
07/01/2018, Yoshii, 17, 977, 9, 251
07/01/2018, Harper, 39, 1035, 0, 99
07/01/2018, Qingsong, 38, 955, 8, 194
07/01/2018, Kuloy, 33, 960, 4, 133
07/01/2018, Casigua El Cubo, 43, 972, 29, 298
07/01/2018, Boston, 8, 972, 8, 336
07/01/2018, Croix, 5, 977, 2, 191
07/01/2018, Lolodorf, 24, 1019, 14, 244
08/01/2018, Guandu, 20, 910, 14, 267
08/01/2018, Barbacena, 8, 1032, 13, 46
08/01/2018, Stockholm, 4, 1017, 27, 85
08/01/2018, Aldeia, 40, 929, 12, 278
08/01/2018, Bachowice, 25, 1018, 28, 115
08/01/2018, Marija Bistrica, 43, 912, 10, 246
08/01/2018, Lille, -4, 1010, 31, 22
08/01/2018, Hufang, 17, 978, 4, 42
08/01/2018, Gaotang, 24, 930, 7, 295
08/01/2018, Bechlín, 26, 1024, 25, 185
08/01/2018, Tuapukan, 28, 1032, 11, 70
08/01/2018, Rybache, 2, 1016, 18, 278
08/01/2018, Soutelo, 17, 1022, 27, 218
08/01/2018, Ciudad Nueva, 39, 1007, 14, 6
08/01/2018, London, 33, 914, 19, 85
08/01/2018, Rognedino, 43, 913, 29, 339
08/01/2018, Chinchero, 6, 988, 20, 159
08/01/2018, Smarhon’, 10, 913, 24, 327
08/01/2018, Novoaltaysk, 33, 996, 27, 111
08/01/2018, Longtang, 3, 929, 27, 73
08/01/2018, Liliongan, -2, 970, 18, 319
08/01/2018, Belusovka, 23, 910, 20, 102
08/01/2018, Banepa, 40, 977, 28, 102
08/01/2018, Merke, 20, 958, 12, 140
08/01/2018, Jeziorany, 34, 920, 20, 207
08/01/2018, Kindersley, 27, 925, 7, 158
08/01/2018, Corralillo, 13, 933, 14, 101
08/01/2018, Perovo, -3, 962, 8, 221
08/01/2018, Cigaleuh Kulon, 6, 910, 15, 121
08/01/2018, Padaimut, 12, 919, 22, 247
08/01/2018, Atsugi, 31, 941, 25, 150
08/01/2018, Podgornoye, -3, 972, 0, 185
08/01/2018, Toledo, 6, 922, 19, 242
08/01/2018, San Pedro, 14, 967, 3, 167
08/01/2018, Príbram, 27, 972, 12, 117
08/01/2018, Datong, 3, 968, 7, 29
08/01/2018, Orlová, 24, 985, 12, 63
08/01/2018, Savannakhét, 12, 976, 28, 118
08/01/2018, Huangsha, 42, 1032, 29, 300
08/01/2018, Wongsorejo, -4, 980, 12, 196
08/01/2018, Krížová, 20, 1037, 2, 199
08/01/2018, Belyy Yar, 8, 995, 12, 219
08/01/2018, Reading, 6, 971, 17, 70
08/01/2018, Niquelândia, 26, 974, 31, 296
08/01/2018, Semirara, 41, 908, 14, 73
08/01/2018, Zhangjiahe, 14, 917, 13, 348
